Immagine,Dim. Orig.,F,d,d/d_max,Compressione %,PSNR (dB),Pixel Scartati %,Qualità
bridge,4049x2749,4,1,25%,93.8,28.04,0.1,Accettabile
bridge,4049x2749,4,3,50%,62.5,39.42,0.1,Buona
bridge,4049x2749,4,4,75%,37.5,44.32,0.1,Eccellente
bridge,4049x2749,4,6,100%,6.2,56.64,0.1,Eccellente
bridge,4049x2749,8,3,25%,90.6,32.39,0.2,Buona
bridge,4049x2749,8,7,50%,56.2,41.68,0.2,Eccellente
bridge,4049x2749,8,10,75%,23.4,48.90,0.2,Eccellente
bridge,4049x2749,8,14,100%,1.6,68.26,0.2,Eccellente
bridge,4049x2749,16,7,25%,89.1,34.18,0.5,Buona
bridge,4049x2749,16,15,50%,53.1,42.77,0.5,Eccellente
bridge,4049x2749,16,22,75%,17.6,51.34,0.5,Eccellente
bridge,4049x2749,16,30,100%,0.4,95.93,0.5,Eccellente
cathedral,3008x2000,4,1,25%,93.8,30.49,0.0,Buona
cathedral,3008x2000,4,3,50%,62.5,41.00,0.0,Eccellente
cathedral,3008x2000,4,4,75%,37.5,45.63,0.0,Eccellente
cathedral,3008x2000,4,6,100%,6.2,57.85,0.0,Eccellente
cathedral,3008x2000,8,3,25%,90.6,33.89,0.0,Buona
cathedral,3008x2000,8,7,50%,56.2,43.34,0.0,Eccellente
cathedral,3008x2000,8,10,75%,23.4,49.97,0.0,Eccellente
cathedral,3008x2000,8,14,100%,1.6,69.15,0.0,Eccellente
cathedral,3008x2000,16,7,25%,89.1,35.58,0.0,Buona
cathedral,3008x2000,16,15,50%,53.1,44.38,0.0,Eccellente
cathedral,3008x2000,16,22,75%,17.6,52.30,0.0,Eccellente
cathedral,3008x2000,16,30,100%,0.4,78.80,0.0,Eccellente
gradient,600x1000,4,1,25%,93.8,53.06,0.0,Eccellente
gradient,600x1000,4,3,50%,62.5,56.88,0.0,Eccellente
gradient,600x1000,4,4,75%,37.5,60.69,0.0,Eccellente
gradient,600x1000,4,6,100%,6.2,77.69,0.0,Eccellente
gradient,600x1000,8,3,25%,90.6,54.62,0.0,Eccellente
gradient,600x1000,8,7,50%,56.2,57.65,0.0,Eccellente
gradient,600x1000,8,10,75%,23.4,65.39,0.0,Eccellente
gradient,600x1000,8,14,100%,1.6,100.00,0.0,Eccellente
gradient,600x1000,16,7,25%,89.1,54.79,2.1,Eccellente
gradient,600x1000,16,15,50%,53.1,58.11,2.1,Eccellente
gradient,600x1000,16,22,75%,17.6,70.57,2.1,Eccellente
gradient,600x1000,16,30,100%,0.4,100.00,2.1,Eccellente
640x640,640x640,4,1,25%,93.8,10.46,0.0,Scarsa
640x640,640x640,4,3,50%,62.5,19.10,0.0,Scarsa
640x640,640x640,4,4,75%,37.5,26.54,0.0,Accettabile
640x640,640x640,4,6,100%,6.2,37.92,0.0,Buona
640x640,640x640,8,3,25%,90.6,12.80,0.0,Scarsa
640x640,640x640,8,7,50%,56.2,20.99,0.0,Accettabile
640x640,640x640,8,10,75%,23.4,32.05,0.0,Buona
640x640,640x640,8,14,100%,1.6,46.44,0.0,Eccellente
640x640,640x640,16,7,25%,89.1,13.68,0.0,Scarsa
640x640,640x640,16,15,50%,53.1,21.80,0.0,Accettabile
640x640,640x640,16,22,75%,17.6,34.02,0.0,Buona
640x640,640x640,16,30,100%,0.4,55.15,0.0,Eccellente
shoe,260x260,4,1,25%,93.8,22.38,0.0,Accettabile
shoe,260x260,4,3,50%,62.5,33.87,0.0,Buona
shoe,260x260,4,4,75%,37.5,41.31,0.0,Eccellente
shoe,260x260,4,6,100%,6.2,64.97,0.0,Eccellente
shoe,260x260,8,3,25%,90.6,25.66,3.1,Accettabile
shoe,260x260,8,7,50%,56.2,36.72,3.1,Buona
shoe,260x260,8,10,75%,23.4,59.12,3.1,Eccellente
shoe,260x260,8,14,100%,1.6,76.61,3.1,Eccellente
shoe,260x260,16,7,25%,89.1,27.45,3.1,Accettabile
shoe,260x260,16,15,50%,53.1,38.52,3.1,Buona
shoe,260x260,16,22,75%,17.6,52.14,3.1,Eccellente
shoe,260x260,16,30,100%,0.4,71.03,3.1,Eccellente
